id	publicationid	ethnicity	population	populationinfo	subjecttype	subjectcount	version
7586839	871408	European	European (Finnish)	gnomAD v3.1	\N	4889	1
7586840	871408	European	European (Finnish)	gnomAD v3.1	\N	4890	1
7586841	871408	European	European (Finnish)	gnomAD v3.1	\N	4891	1
7586842	871408	European	European (Finnish)	gnomAD v3.1	\N	4892	1
7586843	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25803	1
7586844	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25830	1
7586845	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25836	1
7586846	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25837	1
7586847	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25840	1
7586848	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25841	1
7586849	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25842	1
7586850	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25844	1
7586851	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25845	1
7586852	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25846	1
7586853	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25847	1
7586854	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25848	1
7586855	871408	European	European (non-Finnish)	gnomAD v3.1	\N	25849	1
7586856	871465	European	European Brazilians	\N	Healthy controls	110	1
7586857	871467	European	Greek	\N	Non-syndromic hearing loss patients	478	1
7586858	871469	European	Latvian	\N	Population controls	191	1
7586859	871471	European	Polish	\N	Population controls	500	1
7586860	871473	European	Belarusian	\N	Population controls	300	1
7586861	871473	European	Belarusian	\N	Sensorineural hearing loss patients	391	1
7586862	871476	European	South African Caucasian	\N	Population controls	104	1
7586863	871476	European	South African Afrikaner	\N	Population controls	93	1
7586864	871479	European	Austrian	\N	Hearing impaired cases	122	1
7586865	871481	European	European American	\N	Controls	100	1
7586866	871408	Near Eastern	Ashkenazi Jewish	gnomAD v3.1	\N	1414	1
7586867	871408	Near Eastern	Ashkenazi Jewish	gnomAD v3.1	\N	1415	1
7586868	871485	Near Eastern	Turkish	\N	Profound hearing loss patients	95	1
7586869	871485	Near Eastern	Turkish	\N	Healthy controls	67	1
7586870	871488	Near Eastern	Moroccan	\N	Sporadic hearing loss cases	80	1
7586871	871488	Near Eastern	Moroccan	\N	Healthy controls	100	1
7586872	871491	Near Eastern	Egyptian	\N	Sensorineural hearing loss patients	97	1
7586873	871491	Near Eastern	Egyptian	\N	Healthy controls	300	1
7586874	871494	Near Eastern	Turkish	\N	Non-syndromic sensorineural hearing loss patients	168	1
7586875	871496	Near Eastern	Tunisian	\N	Non-syndromic hearing loss patients	100	1
7586876	871496	Near Eastern	Tunisian	\N	Healthy controls	100	1
7586877	871499	Near Eastern	Iranian	\N	Non-syndromic hearing loss patients	1000	1
7586878	871465	Sub-Saharan African	African-Brazilians	\N	Healthy controls	190	1
7586879	871502	Sub-Saharan African	South African Black	\N	Healthy controls	106	1
7586880	871504	Sub-Saharan African	Indigenous South Africans	\N	Hearing impaired cases	182	1
7586881	871504	Sub-Saharan African	Indigenous South Africans	\N	Healthy controls	63	1
7586882	871476	Sub-Saharan African	South African Black	\N	Population controls	112	1
7586883	115325	Central/South Asian	South Asian	\N	\N	477	1
7586884	115327	Central/South Asian	South Asian	\N	\N	15297	1
7586885	115329	Central/South Asian	South Asian	\N	\N	13388	1
7586886	115331	Central/South Asian	South Asian	\N	\N	14052	1
7586887	115333	Central/South Asian	South Asian	\N	\N	26224	1
7586888	115335	East Asian	Korean	leukemia patients and controls	\N	84	1
7586889	115325	East Asian	East Asian	\N	\N	504	1
7586890	115327	East Asian	East Asian	\N	\N	9358	1
7586891	115329	East Asian	East Asian	\N	\N	8168	1
7586892	115331	East Asian	East Asian	\N	\N	7959	1
7586893	115333	East Asian	East Asian	\N	\N	6654	1
7586894	115325	European	European	\N	\N	495	1
7586895	115327	European	Finnish	\N	\N	12885	1
7586896	115327	European	non-Finnish	\N	\N	63216	1
7586897	115329	European	Finnish	\N	\N	11094	1
7586898	115329	European	non-Finnish	\N	\N	53051	1
7586899	115331	European	Finnish	\N	\N	10218	1
7586900	115331	European	non-Finnish	\N	\N	50488	1
7586901	115333	European	Finnish	\N	\N	8851	1
7586902	115333	European	non-Finnish	\N	\N	42921	1
7586903	115325	Latino	Latino	\N	\N	341	1
7586904	115327	Latino	Latino	\N	\N	17019	1
7586905	115329	Latino	Latino	\N	\N	14548	1
7586906	115331	Latino	Latino	\N	\N	15597	1
7586907	115333	Latino	Latino	\N	\N	12819	1
7586908	\N	American	Amish	gnomAD v3.1.2 AMI	\N	912	1
7586909	\N	American	Amish	gnomAD v3.1.2 AMI	\N	912	1
7586910	\N	American	Amish	gnomAD v3.1.2 AMI	\N	912	1
7586911	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10620	1
7586912	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10580	1
7586913	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10608	1
7586914	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10626	1
7586915	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10620	1
7586916	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10618	1
7586917	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10628	1
7586918	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10610	1
7586919	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10610	1
7586920	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10622	1
7586921	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10628	1
7586922	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10614	1
7586923	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10618	1
7586924	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10622	1
7586925	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10608	1
7586926	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10626	1
7586927	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10616	1
7586928	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10598	1
7586929	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	8398	1
7586930	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10612	1
7586931	\N	European	Finnish	gnomAD v3.1.2 FIN	\N	10622	1
7586932	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7586933	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68030	1
7586934	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68034	1
7586935	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67780	1
7586936	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67912	1
7586937	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68030	1
7586938	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68020	1
7586939	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68042	1
7586940	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68040	1
7586941	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68008	1
7586942	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68042	1
7586943	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68018	1
7586944	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68000	1
7586945	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68002	1
7586946	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67998	1
7586947	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68022	1
7586948	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7586949	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7586950	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68020	1
7586951	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68042	1
7586952	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7586953	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7586954	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68046	1
7586955	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68022	1
7586956	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7586957	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67988	1
7586958	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68016	1
7586959	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67124	1
7586960	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68000	1
7586961	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7586962	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68022	1
7586963	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68016	1
7586964	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68022	1
7586965	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68038	1
7586966	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67996	1
7586967	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7586968	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68000	1
7586969	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68010	1
7586970	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68024	1
7586971	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7586972	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7586973	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7586974	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68046	1
7586975	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7586976	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68024	1
7586977	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68040	1
7586978	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7586979	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68012	1
7586980	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68000	1
7586981	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67992	1
7586982	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68006	1
7586983	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67996	1
7586984	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68018	1
7586985	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7586986	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7586987	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7586988	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68024	1
7586989	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68030	1
7586990	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67784	1
7586991	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67846	1
7586992	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67782	1
7586993	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68004	1
7586994	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68038	1
7586995	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68034	1
7586996	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68044	1
7586997	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67958	1
7586998	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68020	1
7586999	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67996	1
7587000	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7587001	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68038	1
7587002	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68030	1
7587003	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68042	1
7587004	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7587005	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67984	1
7587006	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68030	1
7587007	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7587008	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68026	1
7587009	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68004	1
7587010	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68016	1
7587011	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7587012	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68012	1
7587013	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68034	1
7587014	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68024	1
7587015	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68020	1
7587016	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68010	1
7587017	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68034	1
7587018	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7587019	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68032	1
7587020	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	65812	1
7587021	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	65810	1
7587022	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68030	1
7587023	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68026	1
7587024	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68028	1
7587025	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68014	1
7587026	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68040	1
7587027	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68000	1
7587028	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67532	1
7587029	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68036	1
7587030	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68000	1
7587031	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68014	1
7587032	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68026	1
7587033	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68016	1
7587034	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	67992	1
7587035	\N	European	Non-Finnish European	gnomAD v3.1.2 NFE	\N	68026	1
7587036	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15264	1
7587037	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15280	1
7587038	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15280	1
7587039	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15274	1
7587040	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15288	1
7587041	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15266	1
7587042	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15276	1
7587043	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15290	1
7587044	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15290	1
7587045	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15290	1
7587046	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15260	1
7587047	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15274	1
7587048	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15278	1
7587049	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15278	1
7587050	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15282	1
7587051	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15284	1
7587052	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15284	1
7587053	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15282	1
7587054	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15284	1
7587055	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15136	1
7587056	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15282	1
7587057	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15282	1
7587058	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15278	1
7587059	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15274	1
7587060	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15240	1
7587061	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15282	1
7587062	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15278	1
7587063	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15274	1
7587064	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15286	1
7587065	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15266	1
7587066	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15270	1
7587067	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15278	1
7587068	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	14712	1
7587069	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	14702	1
7587070	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15264	1
7587071	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15226	1
7587072	\N	Latino	Latino/Admixed American	gnomAD v3.1.2 AMR	\N	15264	1
7587073	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4824	1
7587074	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4824	1
7587075	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4824	1
7587076	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4832	1
7587077	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4828	1
7587078	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4834	1
7587079	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4830	1
7587080	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4828	1
7587081	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4830	1
7587082	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4830	1
7587083	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4828	1
7587084	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4820	1
7587085	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4836	1
7587086	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4832	1
7587087	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4826	1
7587088	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4802	1
7587089	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4830	1
7587090	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4808	1
7587091	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4824	1
7587092	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4830	1
7587093	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4826	1
7587094	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4826	1
7587095	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4820	1
7587361	114935	East Asian	East Asian	\N	\N	8623	1
7587096	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4832	1
7587097	\N	Central/South Asian	South Asian	gnomAD v3.1.2 SAS	\N	4832	1
7587098	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5138	1
7587099	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5204	1
7587100	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5180	1
7587101	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5194	1
7587102	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5186	1
7587103	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5192	1
7587104	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5200	1
7587105	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5192	1
7587106	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5194	1
7587107	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5204	1
7587108	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5178	1
7587109	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5186	1
7587110	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5164	1
7587111	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5194	1
7587112	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5194	1
7587113	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5184	1
7587114	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5182	1
7587115	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5200	1
7587116	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5024	1
7587117	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5096	1
7587118	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5194	1
7587119	\N	East Asian	Eastern Asian	gnomAD v3.1.2 EAS	\N	5188	1
7587120	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587121	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587122	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587123	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587124	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587125	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587126	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587127	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587128	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587129	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3472	1
7587130	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3472	1
7587131	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587132	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587133	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587134	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3472	1
7587135	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587136	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587137	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3386	1
7587138	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3470	1
7587139	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587140	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3458	1
7587141	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3468	1
7587142	\N	Near Eastern	Ashkenazi Jewish	gnomAD v3.1.2 ASJ	\N	3472	1
7587143	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587144	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587145	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587146	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587147	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587148	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587149	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	316	1
7587150	\N	Near Eastern	Middle Eastern	gnomAD v3.1.2 MID	\N	310	1
7587151	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41446	1
7587152	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41418	1
7587153	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41438	1
7587154	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41404	1
7587155	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41446	1
7587156	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41420	1
7587157	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41396	1
7587158	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41388	1
7587159	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41428	1
7587160	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41398	1
7587161	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41390	1
7587162	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41442	1
7587163	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41472	1
7587164	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41456	1
7587165	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41442	1
7587166	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41420	1
7587167	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41442	1
7587168	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41440	1
7587169	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41432	1
7587170	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41388	1
7587171	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41426	1
7587172	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41426	1
7587173	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41422	1
7587174	\N	Sub-Saharan African	African/African American	gnomAD v3.1.2 AFR	\N	41430	1
